Number,Question,Answer,Country,Details,Report
57,"Has your country created and developed capacity-building programmes to involve and enable smallholder farmers, indigenous and local communities, and other relevant stakeholders to effectively participate in decision-making processes related to genetic use restriction technologies?",No,DR Congo,,https://www.cbd.int/doc/world/cd/cd-nr-03-en.pdf
57,"Has your country created and developed capacity-building programmes to involve and enable smallholder farmers, indigenous and local communities, and other relevant stakeholders to effectively participate in decision-making processes related to genetic use restriction technologies?","No, but some programmes are under development",Djibouti,Un programme de d‚veloppement du palmier dattier notamment la mise en place d?une technologie de conservation et de diffusion par culture in vitro est en cours...,https://www.cbd.int/doc/world/dj/dj-nr-03-fr.pdf
57,"Has your country created and developed capacity-building programmes to involve and enable smallholder farmers, indigenous and local communities, and other relevant stakeholders to effectively participate in decision-making processes related to genetic use restriction technologies?",No,El Salvador,,https://www.cbd.int/doc/world/sv/sv-nr-03-db-es.pdf
57,"Has your country created and developed capacity-building programmes to involve and enable smallholder farmers, indigenous and local communities, and other relevant stakeholders to effectively participate in decision-making processes related to genetic use restriction technologies?",No,Ethiopia,,https://www.cbd.int/doc/world/et/et-nr-03-en.pdf
57,"Has your country created and developed capacity-building programmes to involve and enable smallholder farmers, indigenous and local communities, and other relevant stakeholders to effectively participate in decision-making processes related to genetic use restriction technologies?",No,Guatemala,,
57,"Has your country created and developed capacity-building programmes to involve and enable smallholder farmers, indigenous and local communities, and other relevant stakeholders to effectively participate in decision-making processes related to genetic use restriction technologies?","No, but some programmes are under development",Honduras,Con apoyo de la GTZ se est  iniciando un proyecto para el fortalecimiento de la Aplicaci¢n del Art¡culo 8j en Honduras...,
57,"Has your country created and developed capacity-building programmes to involve and enable smallholder farmers, indigenous and local communities, and other relevant stakeholders to effectively participate in decision-making processes related to genetic use restriction technologies?","No, but some programmes are under development",India,"The use of Gene Use Restriction Technologies (GURTS) or terminator technology is prohibited as per the provisions of the Protection of Plant Varieties and Farmers? Rights Act, which was passed by the Government in 2001...",https://www.cbd.int/doc/world/in/in-nr-03-en.pdf
57,"Has your country created and developed capacity-building programmes to involve and enable smallholder farmers, indigenous and local communities, and other relevant stakeholders to effectively participate in decision-making processes related to genetic use restriction technologies?",No,Indonesia,,https://www.cbd.int/doc/world/id/id-nr-03-en.pdf
57,"Has your country created and developed capacity-building programmes to involve and enable smallholder farmers, indigenous and local communities, and other relevant stakeholders to effectively participate in decision-making processes related to genetic use restriction technologies?",No,Kenya,,https://www.cbd.int/doc/world/ke/ke-nr-03-en.pdf
57,"Has your country created and developed capacity-building programmes to involve and enable smallholder farmers, indigenous and local communities, and other relevant stakeholders to effectively participate in decision-making processes related to genetic use restriction technologies?",No,Mexico,"Mexico ha estado en contra de las tecnolog¡as de restricci¢n de uso gen‚tico. Es importante resaltar que uno de los argumentos t‚cnicos m s fuertes a favor de mantener la moratoria a la experimentaci¢n en campo y a la comercializaci¢n de GURTs es que una vez aprobados los que se est n desarrollando actualmente, ser¡an estos los que se utilizar¡an y el estado del arte de la biotecnolog¡a enfocado al desarrollo de otros m‚todos de bio-contenci¢n dejar¡a de impulsarse...",https://www.cbd.int/doc/world/mx/mx-nr-03-es.pdf
57,"Has your country created and developed capacity-building programmes to involve and enable smallholder farmers, indigenous and local communities, and other relevant stakeholders to effectively participate in decision-making processes related to genetic use restriction technologies?",No,Mozambique,,https://www.cbd.int/doc/world/mz/mz-nr-03-en.pdf
57,"Has your country created and developed capacity-building programmes to involve and enable smallholder farmers, indigenous and local communities, and other relevant stakeholders to effectively participate in decision-making processes related to genetic use restriction technologies?",No,Nepal,"Traditional knowledge and biodiversity are complementary to each other. As the country possesses a diverse biodiversity from lowlands (Terai) to the Himalayas, the country has a wealth of culture and traditional knowledge associated with biological resources...",https://www.cbd.int/doc/world/np/np-nr-03-en.pdf
57,"Has your country created and developed capacity-building programmes to involve and enable smallholder farmers, indigenous and local communities, and other relevant stakeholders to effectively participate in decision-making processes related to genetic use restriction technologies?","Yes, some programmes are in place (please provide details below)",Niue,The consultative process for the development of the Biosafety framework was a thorough process that involved all stakeholders,https://www.cbd.int/doc/world/nu/nu-nr-03-en.pdf
57,"Has your country created and developed capacity-building programmes to involve and enable smallholder farmers, indigenous and local communities, and other relevant stakeholders to effectively participate in decision-making processes related to genetic use restriction technologies?","No, but some programmes are under development",Pakistan,"The Plant Breeders Rights Act (draft) has been developed that includes ban on use of GURTS however there are no specific provisions for the involvement of smallholder farmers, indigenous and local communities, and other relevant stakeholders to effectively participate in decision-making processes related to genetic use restriction technologies...",https://www.cbd.int/doc/world/pk/pk-nr-03-en.pdf
57,"Has your country created and developed capacity-building programmes to involve and enable smallholder farmers, indigenous and local communities, and other relevant stakeholders to effectively participate in decision-making processes related to genetic use restriction technologies?","No, but some programmes are under development",Panama,No se est n utilizando.,
57,"Has your country created and developed capacity-building programmes to involve and enable smallholder farmers, indigenous and local communities, and other relevant stakeholders to effectively participate in decision-making processes related to genetic use restriction technologies?",No,Philippines,The use of GURTS (Genetic Use Restriction Technologies) is currently prohibited/banned.,https://www.cbd.int/doc/world/ph/ph-nr-03-en.pdf
57,"Has your country created and developed capacity-building programmes to involve and enable smallholder farmers, indigenous and local communities, and other relevant stakeholders to effectively participate in decision-making processes related to genetic use restriction technologies?",No,Rwanda,,https://www.cbd.int/doc/world/rw/rw-nr-03-fr.pdf
57,"Has your country created and developed capacity-building programmes to involve and enable smallholder farmers, indigenous and local communities, and other relevant stakeholders to effectively participate in decision-making processes related to genetic use restriction technologies?","No, but some programmes are under development",Samoa,An action plan for facilitating access to Samoa?s genetic resources and traditional knowledge and sharing of any benefits has been drafted as a consultancy (Urwin Consulting...,https://www.cbd.int/doc/world/ws/ws-nr-03-en.pdf
57,"Has your country created and developed capacity-building programmes to involve and enable smallholder farmers, indigenous and local communities, and other relevant stakeholders to effectively participate in decision-making processes related to genetic use restriction technologies?",No,Solomon Islands,A lot of work are now going on with small holder farmers but not so much focusing on GURTS.,https://www.cbd.int/doc/world/sb/sb-nr-03-en.pdf
57,"Has your country created and developed capacity-building programmes to involve and enable smallholder farmers, indigenous and local communities, and other relevant stakeholders to effectively participate in decision-making processes related to genetic use restriction technologies?",No,South Africa,,https://www.cbd.int/doc/world/za/za-nr-03-en.pdf
57,"Has your country created and developed capacity-building programmes to involve and enable smallholder farmers, indigenous and local communities, and other relevant stakeholders to effectively participate in decision-making processes related to genetic use restriction technologies?",No,Thailand,-,https://www.cbd.int/doc/world/th/th-nr-03-en.pdf
57,"Has your country created and developed capacity-building programmes to involve and enable smallholder farmers, indigenous and local communities, and other relevant stakeholders to effectively participate in decision-making processes related to genetic use restriction technologies?","Yes, some programmes are in place (please provide details below)",Uganda,"In the Agricultural sector, decentralisation of research to zones is being emphasised with a research institute in each zone...",https://www.cbd.int/doc/world/ug/ug-nr-03-en.pdf
57,"Has your country created and developed capacity-building programmes to involve and enable smallholder farmers, indigenous and local communities, and other relevant stakeholders to effectively participate in decision-making processes related to genetic use restriction technologies?",No,Vanuatu,Preliminary awareness of genetic issues has taken place under the auspices of planning to address Vanuatu?s responsibilities under the Cartegena Protocol...,https://www.cbd.int/doc/world/vu/vu-nr-03-en.pdf
58,"Has your country supported indigenous and local communities in undertaking field studies to determine the status, trends and threats related to the knowledge, innovations and practices of indigenous and local communities? (decision VII/16)",No,Argentina,,
58,"Has your country supported indigenous and local communities in undertaking field studies to determine the status, trends and threats related to the knowledge, innovations and practices of indigenous and local communities? (decision VII/16)","No, but support to relevant studies is being considered",Bhutan,,
58,"Has your country supported indigenous and local communities in undertaking field studies to determine the status, trends and threats related to the knowledge, innovations and practices of indigenous and local communities? (decision VII/16)","No, but support to relevant studies is being considered",Brazil,"Through the National Biodiversity Strategy Project, Brazil supported the elaboration of a synthesis of the knowledge entitled ?Traditional knowledge and biodiversity in Brazil?, organized by Ant“nio Carlos Diegues and Rinaldo S...",
58,"Has your country supported indigenous and local communities in undertaking field studies to determine the status, trends and threats related to the knowledge, innovations and practices of indigenous and local communities? (decision VII/16)",No,Burundi,,
58,"Has your country supported indigenous and local communities in undertaking field studies to determine the status, trends and threats related to the knowledge, innovations and practices of indigenous and local communities? (decision VII/16)",Yes (please provide information on the studies undertaken),Cambodia,Government has established a Department with the Ministry of Rural Development to promote rural development and provide non-formal education among the indigenous communities...,
58,"Has your country supported indigenous and local communities in undertaking field studies to determine the status, trends and threats related to the knowledge, innovations and practices of indigenous and local communities? (decision VII/16)","No, but support to relevant studies is being considered",Cameroon,Toutes ces actions sont pr‚vues dans la SPANB mais ne sont pas encore mises en ?uvre.,
58,"Has your country supported indigenous and local communities in undertaking field studies to determine the status, trends and threats related to the knowledge, innovations and practices of indigenous and local communities? (decision VII/16)","No, but support to relevant studies is being considered",Central African Republic,Les peuples autochtones Pygm‚es Aka sont les seuls pour lesquels un certain nombre d?ONGs nationales et internationales travaillent … savoir ÿ,
58,"Has your country supported indigenous and local communities in undertaking field studies to determine the status, trends and threats related to the knowledge, innovations and practices of indigenous and local communities? (decision VII/16)","No, but support to relevant studies is being considered",Chile,"Existen estudios puntuales realizados en el  mbito universitario, principalmente tesis de grado y postgrado de la carrera de antropolog¡a.",
58,"Has your country supported indigenous and local communities in undertaking field studies to determine the status, trends and threats related to the knowledge, innovations and practices of indigenous and local communities? (decision VII/16)",Yes (please provide information on the studies undertaken),Colombia,"Desde varios estamentos de la sociedad el pa¡s ha apoyado a las comunidades ind¡genas y locales en cuanto a emprender estudios sobre el terreno para determinar la situaci¢n, tendencias y amenazas relacionadas con los conocimientos, innovaciones y pr cticas...",
58,"Has your country supported indigenous and local communities in undertaking field studies to determine the status, trends and threats related to the knowledge, innovations and practices of indigenous and local communities? (decision VII/16)",No,Costa Rica,,
58,"Has your country supported indigenous and local communities in undertaking field studies to determine the status, trends and threats related to the knowledge, innovations and practices of indigenous and local communities? (decision VII/16)",No,DR Congo,,
58,"Has your country supported indigenous and local communities in undertaking field studies to determine the status, trends and threats related to the knowledge, innovations and practices of indigenous and local communities? (decision VII/16)",No,Djibouti,,
58,"Has your country supported indigenous and local communities in undertaking field studies to determine the status, trends and threats related to the knowledge, innovations and practices of indigenous and local communities? (decision VII/16)",No,El Salvador,,
58,"Has your country supported indigenous and local communities in undertaking field studies to determine the status, trends and threats related to the knowledge, innovations and practices of indigenous and local communities? (decision VII/16)",Yes (please provide information on the studies undertaken),Ethiopia,"The Participatory Forest Management Programme (PFMP), which is a joint initiative of FARM-Africa and SOS Sahel Ethiopia, has been trying to ensure environmental sustainability through revitalizing traditional institutions as new forest management institutions...",
58,"Has your country supported indigenous and local communities in undertaking field studies to determine the status, trends and threats related to the knowledge, innovations and practices of indigenous and local communities? (decision VII/16)",Yes (please provide information on the studies undertaken),Guatemala,,
58,"Has your country supported indigenous and local communities in undertaking field studies to determine the status, trends and threats related to the knowledge, innovations and practices of indigenous and local communities? (decision VII/16)","No, but support to relevant studies is being considered",Honduras,"En el pa¡s han existido algunas iniciativas de apoyo al rescate del conocimiento tradicional , como ser El Programa de Rescate y Promoci¢n de la Producci¢n Artesanal Ind¡gena y Tradicional de Honduras -PROPAITH, como iniciativa global; asimismo se han generado acciones para regiones y recursos espec¡ficos como los muestran los siguientes ejemplos Protecci¢n y Repoblamiento de Oj¢n (Elaeis ole¡fera) para la Producci¢n de Batana en la Reserva Biol¢gica del R¡o Kruta, La Moskitia; Proyecto de Protecci¢n y Conservaci¢n del Santuario de la Iguana Verde en el Municipio de Brus Laguna, Gracias a Dios; Comercializaci¢n de Artesan¡as y Recuperaci¢n de Plantaciones de Tunu Karnika Raya, entre otros...",
58,"Has your country supported indigenous and local communities in undertaking field studies to determine the status, trends and threats related to the knowledge, innovations and practices of indigenous and local communities? (decision VII/16)","No, but support to relevant studies is being considered",India,"India is rich in traditional knowledge (TK) associated with biological resources. This traditional knowledge is both coded, as in the texts of Indian systems of medicine such as Ayurveda, Unani and Siddha; or is non-coded, which is oral and undocumented...",
58,"Has your country supported indigenous and local communities in undertaking field studies to determine the status, trends and threats related to the knowledge, innovations and practices of indigenous and local communities? (decision VII/16)","No, but support to relevant studies is being considered",Indonesia,,
58,"Has your country supported indigenous and local communities in undertaking field studies to determine the status, trends and threats related to the knowledge, innovations and practices of indigenous and local communities? (decision VII/16)",No,Kenya,,
58,"Has your country supported indigenous and local communities in undertaking field studies to determine the status, trends and threats related to the knowledge, innovations and practices of indigenous and local communities? (decision VII/16)",Yes (please provide information on the studies undertaken),Mexico,"La Conabio desde el a¤o 2003 con el Programa de Recursos Biol¢gicos Colectivos (PRBC) cuyos objetivos generales son ?Apoyar el establecimiento de modelos innovadores de apropiaci¢n colectiva y sustentable de recursos biol¢gicos para promover una valoraci¢n integral del espacio rural, la conservaci¢n in situ de la diversidad biol¢gica y el mejoramiento de la calidad de vida de las comunidades rurales y los consumidores urbanos?, y espec¡ficamente a) identifica y dise¤a proyectos de investigaci¢n b sica, aplicada y tecnol¢gica pertinente para apoyar procesos de apropiaci¢n social y manejo sustentable de recursos biol¢gicos colectivos; b) promueve la apropiaci¢n colectiva de conocimientos y pr cticas tradicionales innovadoras para la conservaci¢n in situ de la diversidad biol¢gica, su manejo sustentable y el desarrollo de productos y servicios con visi¢n de mercado; c) promueve el uso de informaci¢n biol¢gica, geogr fica y cultural de calidad en el dise¤o y adecuaci¢n de pol¡ticas p£blicas relativas a los procesos de apropiaci¢n colectiva y sustentable de recursos biol¢gicos...",
58,"Has your country supported indigenous and local communities in undertaking field studies to determine the status, trends and threats related to the knowledge, innovations and practices of indigenous and local communities? (decision VII/16)",No,Mozambique,,
58,"Has your country supported indigenous and local communities in undertaking field studies to determine the status, trends and threats related to the knowledge, innovations and practices of indigenous and local communities? (decision VII/16)",Yes (please provide information on the studies undertaken),Nepal,MFSC has approved the biodiversity documentation format in 2003 after pilot study and format testing...,
58,"Has your country supported indigenous and local communities in undertaking field studies to determine the status, trends and threats related to the knowledge, innovations and practices of indigenous and local communities? (decision VII/16)","No, but support to relevant studies is being considered",Niue,,
58,"Has your country supported indigenous and local communities in undertaking field studies to determine the status, trends and threats related to the knowledge, innovations and practices of indigenous and local communities? (decision VII/16)",Yes (please provide information on the studies undertaken),Pakistan,A three year project has been initiated by PMNH entitled ?Documentation of Indigenous Knowledge about Medicinal Plants of Pakistan? now entered in its final year...,
58,"Has your country supported indigenous and local communities in undertaking field studies to determine the status, trends and threats related to the knowledge, innovations and practices of indigenous and local communities? (decision VII/16)","No, but support to relevant studies is being considered",Panama,"Como parte de la formulaci¢n del proyecto ?Corredor Biol¢gico Mesoamericano del Atl ntico Paname¤o?, se elabor¢ un Plan de Desarrollo Ind¡gena cuya ejecuci¢n, al igual que el proyecto, estuvo a cargo de la Autoridad Nacional del Ambiente ...",
58,"Has your country supported indigenous and local communities in undertaking field studies to determine the status, trends and threats related to the knowledge, innovations and practices of indigenous and local communities? (decision VII/16)",Yes (please provide information on the studies undertaken),Philippines,"There is very limited support for such endeavors. To date, some NGOs and the academe have initiated some work on the subject but they are few in number and limited in geographical coverage...",
58,"Has your country supported indigenous and local communities in undertaking field studies to determine the status, trends and threats related to the knowledge, innovations and practices of indigenous and local communities? (decision VII/16)",No,Rwanda,,
58,"Has your country supported indigenous and local communities in undertaking field studies to determine the status, trends and threats related to the knowledge, innovations and practices of indigenous and local communities? (decision VII/16)",No,Samoa,,
58,"Has your country supported indigenous and local communities in undertaking field studies to determine the status, trends and threats related to the knowledge, innovations and practices of indigenous and local communities? (decision VII/16)",Yes (please provide information on the studies undertaken),Solomon Islands,"Some works in this field are done by NGOs, principally by Kastom Garden Association. Individual efforts have been completed and published by certain individuals in some parts of the country...",
58,"Has your country supported indigenous and local communities in undertaking field studies to determine the status, trends and threats related to the knowledge, innovations and practices of indigenous and local communities? (decision VII/16)",No,South Africa,,
58,"Has your country supported indigenous and local communities in undertaking field studies to determine the status, trends and threats related to the knowledge, innovations and practices of indigenous and local communities? (decision VII/16)",Yes (please provide information on the studies undertaken),Thailand,"Community knowledge and empowerment have been emphasized by many organizations, for example The Thailand Research Fund (www...",
58,"Has your country supported indigenous and local communities in undertaking field studies to determine the status, trends and threats related to the knowledge, innovations and practices of indigenous and local communities? (decision VII/16)",Yes (please provide information on the studies undertaken),Uganda,"The Plant Genetic Resources Unit of National Agricultural Research Organisation is charged with and is carrying out among others, documentation of indigenous knowledge pertaining to Plant Genetic Resources for Food and Agriculture (PGRFA) as well as encouraging traditional methods of conservation and sustainable use of PGRFA...",
58,"Has your country supported indigenous and local communities in undertaking field studies to determine the status, trends and threats related to the knowledge, innovations and practices of indigenous and local communities? (decision VII/16)",Yes (please provide information on the studies undertaken),Vanuatu,"The Department of Finance and Economic Management, the Ministry of Quarantine, Agriculture, Forests and Fisheries and the French International Research Centre for Agriculture and Development (CIRAD) are conducting a 5 year study which, among other things, is investigating the socio-economic behavior of farmers and consumers with respect to agricultural genetic resources represented in ten different species of root crops...",
60,Has your country used the Akwé:Kon Guidelines in any project proposed to take place on sacred sites and/or land and waters traditionally occupied by indigenous and local communities? (decision VII/16),No,Argentina,,
60,Has your country used the Akwé:Kon Guidelines in any project proposed to take place on sacred sites and/or land and waters traditionally occupied by indigenous and local communities? (decision VII/16),"No, but a review of the Akw‚: Kon guidelines is under way",Argentina,,
60,Has your country used the Akwé:Kon Guidelines in any project proposed to take place on sacred sites and/or land and waters traditionally occupied by indigenous and local communities? (decision VII/16),No,Bhutan,They are involved through activities such as Community based natural resources management projects.ÿ,
60,Has your country used the Akwé:Kon Guidelines in any project proposed to take place on sacred sites and/or land and waters traditionally occupied by indigenous and local communities? (decision VII/16),"Yes, some measures taken (please provide details below)",Bhutan,They are involved through activities such as Community based natural resources management projects.ÿ,
60,Has your country used the Akwé:Kon Guidelines in any project proposed to take place on sacred sites and/or land and waters traditionally occupied by indigenous and local communities? (decision VII/16),No,Brazil,"Through the Department of Genetic Heritage of the Ministry of the Environment, Brazil has supported and promoted meetings with those possessing Associated Traditional Knowledge, to discuss the mechanisms to conduct the distribution of benefits from the use of Associated Traditional Knowledge which is shared by more than one community or ethnic group...",
60,Has your country used the Akwé:Kon Guidelines in any project proposed to take place on sacred sites and/or land and waters traditionally occupied by indigenous and local communities? (decision VII/16),"No, but a review of the Akw‚: Kon guidelines is under way",Brazil,"Through the Department of Genetic Heritage of the Ministry of the Environment, Brazil has supported and promoted meetings with those possessing Associated Traditional Knowledge, to discuss the mechanisms to conduct the distribution of benefits from the use of Associated Traditional Knowledge which is shared by more than one community or ethnic group...",
60,Has your country used the Akwé:Kon Guidelines in any project proposed to take place on sacred sites and/or land and waters traditionally occupied by indigenous and local communities? (decision VII/16),No,Burundi,Il existe d‚j… mais depuis peu une loi sur la propri‚t‚ intellectuelle qui constitue un cadre pour la protection des connaissances traditionnelles...,
60,Has your country used the Akwé:Kon Guidelines in any project proposed to take place on sacred sites and/or land and waters traditionally occupied by indigenous and local communities? (decision VII/16),"Yes, some measures taken (please provide details below)",Burundi,Il existe d‚j… mais depuis peu une loi sur la propri‚t‚ intellectuelle qui constitue un cadre pour la protection des connaissances traditionnelles...,
60,Has your country used the Akwé:Kon Guidelines in any project proposed to take place on sacred sites and/or land and waters traditionally occupied by indigenous and local communities? (decision VII/16),No,Cambodia,"Measures include enactment of sub-decree on Community Forestry, Community Fisheries; various articles in the Land Law on 2001, Forest Law and Law on Environmental Protection and Natural Resources; the Development of Strategy Paper for the Registration of Indigenous Land Rights; and other relevant legal instruments...",
60,Has your country used the Akwé:Kon Guidelines in any project proposed to take place on sacred sites and/or land and waters traditionally occupied by indigenous and local communities? (decision VII/16),"Yes, some measures taken (please provide details below)",Cambodia,"Measures include enactment of sub-decree on Community Forestry, Community Fisheries; various articles in the Land Law on 2001, Forest Law and Law on Environmental Protection and Natural Resources; the Development of Strategy Paper for the Registration of Indigenous Land Rights; and other relevant legal instruments...",
60,Has your country used the Akwé:Kon Guidelines in any project proposed to take place on sacred sites and/or land and waters traditionally occupied by indigenous and local communities? (decision VII/16),No,Cameroon,"Certains repr‚sentants des associations des tradi-praticiens ont particip‚ aux ateliers nationaux, r‚gionaux et internationaux organis‚s par le Conseil scientifique du Commonwealth au Cameroun, au Ghana, au Nigeria et en Inde traitant de la diversit‚ biologique telle qu?utilis‚e dans la pratique de la m‚decine traditionnelle...",
60,Has your country used the Akwé:Kon Guidelines in any project proposed to take place on sacred sites and/or land and waters traditionally occupied by indigenous and local communities? (decision VII/16),"Yes, some measures taken (please provide details below)",Cameroon,"Certains repr‚sentants des associations des tradi-praticiens ont particip‚ aux ateliers nationaux, r‚gionaux et internationaux organis‚s par le Conseil scientifique du Commonwealth au Cameroun, au Ghana, au Nigeria et en Inde traitant de la diversit‚ biologique telle qu?utilis‚e dans la pratique de la m‚decine traditionnelle...",
60,Has your country used the Akwé:Kon Guidelines in any project proposed to take place on sacred sites and/or land and waters traditionally occupied by indigenous and local communities? (decision VII/16),No,Central African Republic,"Au niveau culturel, l?Etat a ratifi‚ en 2003 la convention portant protection du patrimoine immat‚riel, adopt‚ le 10 mai 2006 ; la charte culturelle de la R‚publique Centrafricaine qui est un ensemble d?instruments favorisant la valorisation et la protection du patrimoine culturel et mat‚riel (art...",
60,Has your country used the Akwé:Kon Guidelines in any project proposed to take place on sacred sites and/or land and waters traditionally occupied by indigenous and local communities? (decision VII/16),"Yes, some measures taken (please provide details below)",Central African Republic,"Au niveau culturel, l?Etat a ratifi‚ en 2003 la convention portant protection du patrimoine immat‚riel, adopt‚ le 10 mai 2006 ; la charte culturelle de la R‚publique Centrafricaine qui est un ensemble d?instruments favorisant la valorisation et la protection du patrimoine culturel et mat‚riel (art...",
60,Has your country used the Akwé:Kon Guidelines in any project proposed to take place on sacred sites and/or land and waters traditionally occupied by indigenous and local communities? (decision VII/16),"No, but a review of the Akw‚: Kon guidelines is under way",Chile,"El a¤o 2001, el Ministerio de Planificaci¢n da inicio al Programa de Desarrollo Integral de las Comunidades Ind¡genas, Or¡genes, con el prop¢sito de mejorar las condiciones de vida y promover el desarrollo con identidad de los pueblos aymara, atacame¤o y mapuche en el  rea rural; el Programa se ejecuta a trav‚s de servicios p£blicos con competencias en materias de educaci¢n, salud, desarrollo productivo y desarrollo ind¡gena...",
60,Has your country used the Akwé:Kon Guidelines in any project proposed to take place on sacred sites and/or land and waters traditionally occupied by indigenous and local communities? (decision VII/16),"Yes, some measures taken (please provide details below)",Chile,"El a¤o 2001, el Ministerio de Planificaci¢n da inicio al Programa de Desarrollo Integral de las Comunidades Ind¡genas, Or¡genes, con el prop¢sito de mejorar las condiciones de vida y promover el desarrollo con identidad de los pueblos aymara, atacame¤o y mapuche en el  rea rural; el Programa se ejecuta a trav‚s de servicios p£blicos con competencias en materias de educaci¢n, salud, desarrollo productivo y desarrollo ind¡gena...",
60,Has your country used the Akwé:Kon Guidelines in any project proposed to take place on sacred sites and/or land and waters traditionally occupied by indigenous and local communities? (decision VII/16),No,Colombia,munities involved in harvesting strategies from protected areas e.g. the Kakum National Park.,
60,Has your country used the Akwé:Kon Guidelines in any project proposed to take place on sacred sites and/or land and waters traditionally occupied by indigenous and local communities? (decision VII/16),"Yes, some measures taken (please provide details below)",Colombia,munities involved in harvesting strategies from protected areas e.g. the Kakum National Park.,
60,Has your country used the Akwé:Kon Guidelines in any project proposed to take place on sacred sites and/or land and waters traditionally occupied by indigenous and local communities? (decision VII/16),No,Costa Rica,"El pa¡s ha aumentado los esfuerzos en la £ltima d‚cada hacia esta generaci¢n de capacidad en comunidades ind¡genas y locales, varios han sido los medios proyectos sostenibles, pago de servicios ambientales, desarrollo del turismo, mejora en situaci¢n legal de territorios ind¡genas, m s proyecci¢n internacional y participaci¢n en eventos relacionados...",
60,Has your country used the Akwé:Kon Guidelines in any project proposed to take place on sacred sites and/or land and waters traditionally occupied by indigenous and local communities? (decision VII/16),"Yes, some measures taken (please provide details below)",Costa Rica,"El pa¡s ha aumentado los esfuerzos en la £ltima d‚cada hacia esta generaci¢n de capacidad en comunidades ind¡genas y locales, varios han sido los medios proyectos sostenibles, pago de servicios ambientales, desarrollo del turismo, mejora en situaci¢n legal de territorios ind¡genas, m s proyecci¢n internacional y participaci¢n en eventos relacionados...",
